batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
4b4d1957,PM Sarvesh Kumar,RP Singh,88.6,PP Ojha,83.6,AB Dinda,78.7
4b57e452,M Vijay,SR Tendulkar,95.1,LMP Simmons,93.0,S Dhawan,92.4
4ba44e19,M Muralitharan,AB Dinda,84.4,S Nadeem,84.2,A Nehra,82.8
4bd09374,Akash Madhwal,RP Singh,58.4,YS Chahal,55.5,A Kumble,55.2
4c4fa80b,SMSM Senanayake,I Sharma,79.4,A Nehra,74.5,MA Starc,73.0
4c5d73db,CR Woakes,DL Vettori,72.5,MA Starc,68.8,R Sathish,65.5
4d5a1617,R Bishnoi,MM Sharma,78.1,MJ McClenaghan,62.5,SP Goswami,61.7
4d6d6280,Salman Butt,BB McCullum,88.5,PA Patel,87.0,HH Gibbs,86.3
4d7f517e,AJ Hosein,R Tewatia,66.8,M Shahrukh Khan,64.4,AD Mathews,58.6
4e04666c,YV Takawale,SR Watson,71.7,NV Ojha,71.3,DR Smith,70.5
4ec07775,RN ten Doeschate,BCJ Cutting,83.6,DJG Sammy,83.3,LS Livingstone,82.5
4f629497,SE Bond,TG Southee,66.1,PWH de Silva,64.9,AB Dinda,63.7
5056011d,GJ Bailey,Gurkeerat Singh,90.3,JEC Franklin,88.7,Y Venugopal Rao,86.7
508a1ea7,SE Marsh,SR Tendulkar,97.4,V Kohli,96.5,KL Rahul,95.6
50c6bc2b,LS Livingstone,D Brevis,89.7,AD Russell,88.9,MP Stoinis,86.1
51a3c5ef,MJ McClenaghan,S Nadeem,74.6,A Nehra,73.3,MM Sharma,71.4
529eb9e0,OC McCoy,K Gowtham,85.6,M Shahrukh Khan,83.5,PJ Cummins,80.3
53f27a35,BB Samantray,MC Henriques,82.1,RA Jadeja,79.9,MV Boucher,79.7
53fe6ee4,DS Lehmann,SK Warne,50.1,DJ Hooda,42.6,MM Sharma,42.1
541f85c9,SP Goswami,MM Sharma,70.6,K Goel,64.1,R Sharma,62.3
5451a2c1,B Chipli,R Ravindra,73.5,M Vohra,71.3,Nithish Kumar Reddy,67.3
54e52590,Vijaykumar Vyshak,PWH de Silva,77.5,JJ Bumrah,72.4,A Nehra,68.0
557153ca,KK Cooper,K Gowtham,90.4,PJ Cummins,88.7,M Shahrukh Khan,78.9
5574750c,JC Archer,NM Coulter-Nile,61.2,DL Vettori,54.6,Ramandeep Singh,53.3
5673a3fc,NL McCullum,Bipul Sharma,73.6,DJ Mitchell,72.0,A Raghuvanshi,70.0
56ab442f,NM Coulter-Nile,P Kumar,67.1,JC Archer,61.2,TA Boult,58.3
5724e517,Tanush Kotian,RS Bopara,85.0,CA Pujara,81.3,GH Vihari,61.6
5748e866,TD Paine,S Nadeem,75.5,A Nehra,67.6,MM Sharma,65.9
57ca01b3,Kumar Kushagra,MM Sharma,83.6,Ravi Bishnoi,80.3,AB Dinda,76.8
57ee1fde,YS Chahal,B Kumar,89.6,PP Ojha,85.2,AB Dinda,80.4
57efa3be,SB Styris,R Sathish,74.2,KM Jadhav,69.0,SS Tiwary,62.4
59559bc2,J Overton,PJ Cummins,81.3,K Gowtham,75.9,M Vohra,72.8
5afd4539,MS Bisla,TM Dilshan,88.2,JH Kallis,86.4,SC Ganguly,84.9
5b040b81,A Singh,S Nadeem,89.0,AB Dinda,84.3,A Nehra,84.2
5b16a806,A Dananjaya,RP Singh,84.9,MA Starc,84.5,PP Ojha,76.7
5b7ab5a9,CV Varun,MG Johnson,84.4,PP Ojha,78.1,RP Singh,74.6
5b8c830e,KH Pandya,C Green,75.4,M Manhas,73.8,BA Stokes,70.1
5bb1a1c4,I Sharma,RP Singh,80.3,A Nehra,76.9,PP Ojha,76.8
5bb5a915,M Morkel,NLTC Perera,71.2,JP Faulkner,69.2,P Negi,67.5
5bdcdb72,TM Dilshan,M Vijay,89.1,JH Kallis,88.7,SR Tendulkar,88.6
5d096f3d,RR Powar,DS Kulkarni,78.9,B Lee,73.8,HV Patel,67.4
5d1e7582,BKG Mendis,M Shahrukh Khan,88.5,MP Stoinis,77.4,K Gowtham,76.0
5d2eea49,Kartik Tyagi,RP Singh,91.0,AB Dinda,88.9,PP Ojha,88.4
5d9a1a73,R Sharma,Z Khan,75.1,A Nehra,73.0,Ravi Bishnoi,72.1
5f26df4f,VS Malik,A Kumble,71.8,RP Singh,70.3,MG Johnson,67.5
5f4e9e8f,RR Raje,NM Coulter-Nile,64.3,MG Johnson,62.3,JJ Bumrah,60.3
5f547c8b,Rashid Khan,SN Thakur,74.6,Naman Dhir,71.7,J Fraser-McGurk,71.2
5f5d3ad4,SS Shaikh,MD Mishra,41.6,DB Das,40.3,LR Shukla,36.4
5fa06777,IK Pathan,GJ Bailey,86.0,Azhar Mahmood,82.2,DJ Bravo,81.8
5ffc0565,V Nigam,PJ Cummins,87.2,HH Pandya,84.9,JM Sharma,84.0
6042bf26,NJ Rimmington,DL Vettori,75.3,R Ashwin,70.4,A Kumble,67.3
60500956,RV Patel,R Vinay Kumar,75.0,A Ashish Reddy,74.6,J Botha,74.1
605b7efa,MC Juneja,CA Ingram,67.4,KM Jadhav,66.8,M Manhas,63.0
611926bc,GR Napier,RS Bopara,75.3,GH Vihari,66.9,M Kaif,58.4
6165bca6,A Mukund,S Nadeem,73.0,MM Sharma,70.8,A Nehra,68.6
619aa81f,W Jaffer,CA Pujara,77.4,MS Bisla,75.5,PC Valthaty,68.4
622cc511,U Kaul,S Nadeem,87.9,A Nehra,87.7,MM Sharma,84.8
626c5379,R Sathish,A Mishra,74.5,S Gopal,65.8,DT Christian,62.1
62af8546,Mohammad Nabi,JO Holder,46.7,DL Chahar,46.1,B Lee,41.8
63bff7f9,SM Harwood,RP Singh,83.2,PP Ojha,82.4,YS Chahal,80.5
641ac5ff,IS Sodhi,TG Southee,80.1,AB Dinda,76.8,S Nadeem,74.4
64775749,RP Meredith,S Nadeem,88.0,A Nehra,87.7,MM Sharma,84.9
64a4c383,S Sriram,GH Vihari,80.2,RS Bopara,77.8,CA Pujara,65.8
64c34cd0,Shoaib Malik,DL Vettori,80.1,Shakib Al Hasan,67.9,CA Ingram,65.1
64d43928,Sohail Tanvir,R Ashwin,79.2,KV Sharma,71.8,AB Agarkar,71.6
650d5e49,R Powell,LS Livingstone,82.6,SP Narine,80.5,MP Stoinis,80.2
6581d753,JM Kemp,M Jansen,58.1,PK Garg,53.8,HV Patel,49.4
65b6943c,L Wood,M Shahrukh Khan,85.2,Ramandeep Singh,83.0,JD Unadkat,82.6
662c47a6,Y Nagar,JP Faulkner,60.0,RS Bopara,57.0,K Rabada,56.5
663b5e34,PN Mankad,AJ Finch,68.6,JD Ryder,65.3,WP Saha,64.2
66b30f71,AB Dinda,A Nehra,90.8,S Nadeem,90.7,PP Ojha,88.7
66cf56a5,A Mithun,CA Ingram,44.3,DJ Hooda,42.3,JD Unadkat,41.6
670709ec,SB Joshi,TG Southee,70.1,Ravi Bishnoi,67.3,AB Dinda,65.5
6821ac10,JJ van der Wath,MM Sharma,82.1,MJ McClenaghan,78.2,Ravi Bishnoi,76.9
6834d1f2,B Stanlake,JD Unadkat,77.3,A Ashish Reddy,71.8,DB Das,68.4
68c56d09,KA Jamieson,MM Sharma,88.5,A Nehra,75.4,S Nadeem,70.7
69762509,DR Martyn,RS Bopara,87.6,GH Vihari,77.9,SS Tiwary,71.6
